;time_start;time_reading;co2;tvoc;pm1_0;pm2_5;pm10;temperature;humidity
78;1692966227,28146;0,038979;635;0,01;5;6;6;24,8;57,1
79;1692966227,381818;0,050219;635;0,01;5;6;6;24,8;57,1
80;1692966227,48207;0,044784;635;0,01;5;6;6;24,8;57,1
81;1692966227,58236;0,040139;635;0,01;5;6;6;24,8;57,1
82;1692966227,682618;0,035448;635;0,01;5;6;6;24,8;57,1
83;1692966227,782987;0,046512;635;0,01;5;6;6;24,8;57,1
84;1692966227,884558;0,040947;635;0,01;5;6;6;24,8;57,1
85;1692966227,984854;0,035962;635;0,01;5;6;6;24,8;57,1
86;1692966228,086218;0,046152;635;0,01;5;6;6;24,8;57,1
87;1692966228,186501;0,041823;635;0,01;5;6;6;24,8;57,1
88;1692966228,287638;0,035994;635;0,01;5;6;6;24,8;57,1
89;1692966228,387778;0,047419;635;0,01;5;6;6;24,8;57,1
90;1692966228,489907;0,041008;635;0,01;5;6;6;24,8;57,1
91;1692966228,590157;0,03637;635;0,01;5;6;6;24,8;57,0
92;1692966228,693551;0,044503;635;0,01;5;6;6;24,8;57,0
93;1692966228,793848;0,039722;635;0,01;5;6;6;24,8;57,0
94;1692966228,897039;0,048179;635;0,01;5;6;6;24,8;57,0
95;1692966228,997142;0,043592;635;0,01;5;6;6;24,8;57,0
96;1692966229,099623;0,036806;635;0,01;5;6;6;24,8;57,0
97;1692966229,199875;0,048182;635;0,01;5;6;6;24,8;57,0
98;1692966229,301742;0,041888;635;0,01;5;6;6;24,8;57,0
99;1692966229,401984;0,037347;635;0,01;5;6;6;24,8;57,0
100;1692966229,504061;0,046723;635;0,01;5;6;6;24,8;57,0
101;1692966295,187555;0,042446;634;0,01;5;6;6;24,8;57,0
102;1692966295,28968;0,035844;634;0,01;5;6;6;24,8;57,0
103;1692966295,391398;0,045355;634;0,01;5;6;6;24,8;57,0
104;1692966295,494229;0,043233;634;0,01;5;6;6;24,8;57,0
105;1692966295,594533;0,049556;634;0,01;5;6;6;24,8;57,0
106;1692966295,694976;0,044715;634;0,01;5;6;6;24,8;57,0
107;1692966295,795326;0,040011;634;0,01;5;6;6;24,8;57,0
108;1692966295,896308;0,050553;634;0,01;5;6;6;24,8;57,0
109;1692966295,995857;0,046682;634;0,01;5;6;6;24,8;57,0
110;1692966296,096203;0,041973;634;0,01;5;6;6;24,8;57,0
111;1692966296,197882;0,036437;634;0,01;5;6;6;24,8;57,0
112;1692966296,296996;0,048428;634;0,01;5;6;6;24,8;57,0
113;1692966296,397482;0,043486;634;0,01;5;6;6;24,8;57,0
114;1692966296,497958;0,038539;634;0,01;5;6;6;24,8;57,0
115;1692966296,598162;0,050062;634;0,01;5;6;6;24,8;57,0
116;1692966296,698459;0,045196;634;0,01;5;6;6;24,8;57,0
117;1692966296,798749;0,040716;634;0,01;5;6;6;24,8;57,0
118;1692966296,899011;0,036294;634;0,01;5;6;6;24,8;57,0
119;1692966296,999331;0,047586;634;0,01;5;6;6;24,8;57,0
120;1692966297,099597;0,04266;634;0,01;5;6;6;24,8;57,0
121;1692966297,199906;0,038101;634;0,01;5;6;6;24,8;57,0
122;1692966297,300172;0,049211;634;0,01;5;6;6;24,8;57,0
123;1692966297,400508;0,044768;634;0,01;5;6;6;24,8;57,0
